"";"classe 1";"classe 2";"classe 3";"classe 4"
"janvier";-0,447;-3,336;0,591;3,646
"groupe";1,449;-0,895;-3,935;3,049
"constituer";1,887;1,349;-1,265;-2,495
"cause";-0,003;-1,365;-0,016;2,087
"association";-5,894;9,152;1,892;-4,341
"étude";-0,615;0,266;4,842;-3,779
"établissement";1,097;-0,34;2,318;-4,059
"vie";-2,844;-1,761;31,259;-5,812
"tâche";-1,908;-0,011;2,318;0,002
"tonne";-4,37;-4,767;8,648;2,607
"souhaiter";-1,908;0,136;-4,225;9,841
"répondre";-3,486;-0,34;-1,067;13,339
"représenter";2,35;0,136;0;-4,059
"parvenir";-1,642;-0,895;-3,935;19,202
"occidental";-5,177;34,535;-2,134;-6,106
"nato";0,427;6,662;-5,377;-1,318
"milliard";-5,839;-6,37;54,59;-4,639
"laisser";-1,642;24,029;-6,284;-2,007
"dépense";-5,177;-8,384;55,212;-3,779
"disposer";-0,168;-0,34;9,339;-4,059
"constitution";-0,615;15,424;-3,935;-2,007
"atteindre";-3,486;-1,122;31,491;-6,4
"adenauer";0,006;-2,358;-4,225;13,339
"union";-1,143;15,243;-1,649;-3,223
"strasbourg";2,378;1,806;-3,362;-1,541
"semaine";0,044;-2,055;-6,284;14,86
"réunir";4,262;-2,988;-5,679;4,335
"présent";-0,025;1,366;-0,092;-0,625
"partir";-4,821;2,783;-3,648;5,999
"occasion";-0,615;0,001;-2,134;5,168
"nombre";9,664;-0,496;-3,362;-0,473
"modification";-0,447;-3,336;-3,648;21,247
"fonds";-5,177;-5,799;40,762;-2,007
"déconcentration";17,249;-7,577;-1,649;-0,018
"domaine";32,225;-2,055;-3,935;-6,106
"date";2,981;-2,646;-0,391;0,312
"continuer";-0,615;1,006;-0,172;0,027
"cartel";8,385;-7,98;5,647;-5,812
"caractère";7,261;-3,689;-0,879;0,027
"avis";2,892;0,001;-0,879;-0,791
"avenir";0,499;11,833;-3,935;-6,106
"amérique";-6,946;8,295;-0,034;-0,018
"allié";1,872;7,111;-5,981;-3,5
"unité";-2,844;13,433;-0,703;-1,771
"système";5,696;-0,686;0,591;-5,812
"sarrois";33,465;-2,311;-5,076;-4,932
"responsabilité";8,385;-3,336;-0,092;-0,625
"reconnaître";-1,386;0,029;1,702;-0,063
"rappeler";0,123;0,029;-0,703;0,084
"présenter";3,525;-1,761;-1,888;0,688
"personnel";-2,225;-2,646;-1,416;20,622
"passer";-7,316;2,783;8,48;-3,5
"particulièrement";-1,386;0,449;0,054;0,084
"méthode";-0,299;0,692;0,836;-1,541
"loi";9,664;-7,577;0,133;-0,473
"limite";1,872;-3,336;3,388;-1,771
"fonctionnement";5,12;-0,33;0,253;-5,225
"expliquer";-1,386;-1,761;-1,888;16,56
"exercer";19,564;-0,686;-1,888;-5,812
"entrée";17,249;-5,02;-0,034;-3,223
"entretien";-3,763;0,011;-2,796;13,189
"délai";0,738;-1,761;1,702;-0,625
"continental";-4,113;39,22;-5,377;-5,225
"attendre";0,123;-5,409;0,591;1,875
"approvisionnement";-0,447;-3,336;15,87;-1,771
"washington";-2,225;0,228;-5,377;11,582
"terminer";-0,001;-0,037;-5,679;6,948
"signature";14,992;-4,633;-3,078;0
"sentir";-0,913;1,006;-0,004;0
"répartition";2,981;-4,633;7,624;-5,225
"recommander";-0,913;-0,002;7,624;-2,948
"préparer";-0,299;0,102;-5,679;6,948
"paraître";-2,532;1,806;0,133;-0,018
"matériel";-6,946;0,692;17,736;-5,518
"finance";-4,466;-7,577;28,202;-0,018
"exiger";-0,299;0,102;6,568;-5,518
"développer";-6,946;5,607;2,142;-1,541
"discuter";-1,143;-2,988;-5,679;29,218
"différent";-0,913;-0,002;4,825;-1,318
"contrôle";2,378;-0,037;0,836;-5,518
"contribuer";-4,466;3,444;4,053;-3,223
"confier";30,041;-4,633;-5,377;-1,318
"affecter";-2,532;-2,988;28,202;-3,223
"vente";39,011;-5,567;-4,173;-4,055
"soir";-6,577;-4,633;-3,078;46,468
"sein";-0,913;9,653;-1,416;-1,318
"relèvement";-6,577;-2,646;19,842;0
"poser";-2,225;6,662;-1,416;0
"placer";0,427;-0,002;1,14;-2,948
"maintenir";-0,913;-0,33;4,825;-0,335
"final";11,126;-4,633;-3,078;0,312
"face";-2,225;2,338;4,825;-5,225
"empêcher";-0,176;6,662;-1,416;-1,318
"début";2,981;-0,33;-3,078;0,312
"copie";-6,208;-6,772;-5,076;59,727
"assurance";-4,113;-4,633;0,253;15,779
"annexe";12,801;-4,249;-2,796;0,014
"ajouter";-6,577;-0,002;2,664;1,272
"éliminer";-0,505;6,22;0,043;-4,639
"économie";0,671;-2,311;8,838;-4,932
"voie";-6,208;15,134;-0,261;-1,103
"transitoire";-0,505;-6,37;-2,518;25,838
"suivre";-0,081;0,415;-2,796;1,666
"suggérer";-0,081;-0,192;-1,192;3,519
"rapide";-0,699;1,404;0,423;-1,103
"préparation";-1,637;9,312;-2,518;-0,119
"participant";6,122;-2,311;1,515;-4,932
"opération";-0,02;-1,985;14,428;-4,639
"modifier";4,546;0,675;-0,977;-4,639
"mission";3,696;-4,249;3,282;-2,675
"matin";-1,927;-6,772;-5,076;43,005
"liaison";37,36;-6,37;-4,774;-2,405
"intégration";-1,637;22,317;-2,518;-4,639
"herter";-5,471;-3,487;-4,473;43,993
"fournir";-0,699;-0,959;8,838;-1,103
"fondamental";-3,763;0,415;8,838;-2,675
"examiner";0,071;-0,959;-5,076;9,28
"estimer";0,99;0,07;-0,977;-0,119
"désigner";14,73;-3,866;-4,774;0,067
"direct";1,879;-0,959;1,515;-2,675
"convention";12,472;-5,968;-4,473;1,058
"concentration";5,557;-5,968;4,882;-4,347
"chef";-1,927;-0,192;-5,076;17,782
"apparaître";-6,208;11,217;0,423;-2,675
"évident";-1,637;22,317;-2,518;-4,639
"équipement";-5,839;-0,725;31,287;-4,639
"titre";0;-3,487;-0,773;8,39
"sécurité";-5,839;0,07;19,332;-4,639
"résolution";-0,505;0,07;1,974;-0,898
"règle";17,026;-2,739;-0,411;-3,763
"prêt";-0,505;-0,086;0,651;0,067
"préoccupation";-3,07;2,517;-0,068;0,165
"prier";-3,415;-6,37;-4,774;47,505
"ouvrir";0,99;-0,725;0,043;-0,119
"octobre";0,99;-0,725;-0,152;0,067
"monde";-5,839;9,312;0,651;-2,405
"long";-3,07;-1,668;16,507;-0,705
"juillet";3,402;-4,767;-0,26;0,845
"immédiatement";-1,637;-0,725;-0,152;7,133
"immédiat";-5,471;7,496;0,949;-2,138
"faciliter";-1,637;-0,086;10,241;-2,405
"exécutif";19,417;-1,985;-4,774;-0,898
"emprunt";-5,104;-5,567;47,713;-4,055
"effectif";-1,637;6,22;0,651;-4,639
"définir";0,182;6,22;-2,518;-2,405
"danger";-0,505;17,36;-2,518;-4,639
"commande";-5,471;-5,968;51,149;-4,347
"charbonnage";-1,357;-5,968;16,507;-0,047
"attirer";2,445;-1,985;0,651;-0,898
"appeler";5,557;-3,487;-0,068;-0,047
"volonté";-3,07;4,675;2,534;-4,347
"veiller";3,134;-3,487;2,534;-2,138
"utiliser";0,029;-3,111;9,435;-1,875
"utile";-0,334;-1,668;-2,242;12,385
"travailleur";0;-5,968;21,909;-4,347
"séparer";0,606;5,789;-1,97;-4,055
"supranational";28,013;-1,668;-4,473;-4,347
"supplémentaire";0,355;-3,487;2,534;-0,047
"sembler";-1,357;1,022;0,949;-0,705
"rédaction";-1,09;-5,567;-1,97;25,749
"rythme";-5,104;-3,111;39,289;-4,055
"reconnaissant";-5,471;-3,487;-0,773;29,023
"préciser";8,67;-3,487;0,127;-2,138
"procédure";8,67;-1,668;-0,068;-2,138
"place";1,4;0,189;-0,068;-2,138
"permanent";-2,728;1,475;3,215;-1,875
"parler";-3,07;1,022;-2,242;5,171
"nature";1,4;0,189;-0,068;-2,138
"mentir";0;-0,02;0,949;-0,705
"mccloy";1,4;-5,968;-4,473;12,385
"matière";5,557;-3,487;0,949;-2,138
"luxembourgeois";0,119;-5,167;-1,702;11,615
"libre";-1,357;19,935;-4,473;-2,138
"instruction";1,4;-5,968;-2,242;8,39
"instituer";3,973;-5,567;1,331;-0,525
"information";-5,471;-3,487;11,869;1,058
"guindey";-5,471;-5,968;-4,473;52,641
"grave";1,4;-3,487;-0,773;2,727
"expérience";0,355;-0,02;2,534;-4,347
"exprimer";3,134;-0,513;-4,473;1,058
"examen";-0,334;-1,668;-4,473;17,156
"etc";-5,104;0,001;13,771;-1,875
"espérer";-5,471;1,022;-2,242;8,39
"engagement";0,606;0,383;0,265;-4,055
"déterminer";0;1,022;0,949;-4,347
"dépendre";-3,07;0,189;11,869;-4,347
"décret";0,606;-5,567;0,265;1,46
"division";-5,471;25,407;-0,773;-4,347
"confirmer";1,4;-1,668;-0,773;1,058
"concurrence";-1,357;-3,487;28,074;-4,347
"clause";6,764;-5,567;-0,016;-0,006
"aider";-5,471;1,022;7,994;-2,138
"agricole";-3,07;-1,668;21,909;-2,138
"égard";-0,191;0,001;0,265;-0,006
"échange";0,606;-1,364;0,265;-0,006
"tarif";0,931;-1,659;4,216;-2,89
"supranationale";3,973;3,277;-4,173;-4,055
"suggestion";0,029;1,475;-0,584;-0,525
"succès";-0,839;0,667;-0,411;0,539
"social";1,921;-0,328;1,331;-4,055
"révision";-0,839;7,134;0;-3,763
"réserve";-0,606;-2,372;8,648;-0,223
"réel";-1,09;12,941;-0,584;-4,055
"risque";-2,728;28,993;-4,173;-4,055
"rechercher";-1,09;17,582;-1,97;-4,055
"organiser";0,119;4,215;-1,702;-1,616
"obstacle";1,921;-1,364;1,331;-1,875
"mener";-2,728;17,582;-1,97;-1,875
"marshall";-2,728;-1,364;13,771;-0,525
"justice";17,026;-5,167;-1,702;-0,363
"juin";-0,839;-5,167;-0,411;16,619
"importation";-5,104;-5,567;47,713;-4,055
"idée";-2,728;12,941;-1,97;-0,525
"entrer";0,606;1,475;-1,97;-0,525
"déclarer";3,973;-1,364;-4,173;1,46
"dkv";19,96;-2,372;-3,573;-1,363
"devenir";-4,736;7,134;0,469;-1,616
"destiner";0,606;-1,364;0,265;-0,006
"circonstance";1,921;1,475;-1,97;-1,875
"angleterre";-4,37;30,619;-3,573;-3,472
"absence";0,029;-1,364;1,331;-0,006
"élément";-2,39;10,818;0;-3,763
"égalité";6,251;-0,065;-0,26;-3,472
"transport";-4,37;-4,767;32,505;-1,363
"transformation";-2,39;-0,176;16,011;-3,763
"spécial";12,222;-5,167;0,469;-3,763
"soulever";0,119;0,04;-3,873;1,967
"sauvegarde";-0,839;-2,739;16,011;-1,616
"revenir";-4,736;-1,075;16,011;-0,363
"responsable";19,96;-2,372;-3,573;-1,363
"porter";0,119;0,667;-1,702;0,004
"perspective";-2,39;20,476;-1,702;-3,763
"outre_mer";19,96;-4,767;-0,26;-3,472
"opposition";-0,082;15,265;-3,873;-3,763
"nation";2,577;0,667;-1,702;-1,616
"midi";-4,37;-4,767;-3,573;42,042
"luxembourg";-0,015;1,065;-3,573;0,845
"ligne";-2,39;-0,176;0;4,29
"intégrer";0,119;7,134;-3,873;-1,616
"interlocuteur";0,119;-1,075;-0,411;1,967
"industriel";0,95;-2,739;1,818;-0,363
"indochine";-4,736;0,667;11,143;-3,763
"honneur";-2,39;-2,739;0,469;7,506
"homme";-4,736;20,476;-0,411;-3,763
"garantie";4,997;-1,075;0,469;-3,763
"formule";2,025;1,607;-1,185;-3,18
"fermer";-4,736;0,667;4,046;-0,363
"fait";-2,39;0,667;0;0,539
"exportation";-3,637;-1,659;25,763;-2,89
"existence";-0,082;4,215;0;-3,763
"démocratique";-0,606;18,04;-3,573;-3,472
"doute";-0,082;7,134;-3,873;-0,363
"crainte";-2,39;0,667;7,155;-3,763
"courant";-2,39;-1,075;-0,411;11,615
"connaissance";0,119;-5,167;-1,702;11,615
"conclure";22,624;-5,167;-0,411;-3,763
"complet";-4,736;-2,739;0;16,619
"changer";-4,003;15,63;-1,185;-1,117
"attitude";-2,39;15,265;-3,873;-0,363
"approuver";8,212;-2,739;0;-1,616
"administration";-4,736;-1,075;11,143;0,004
"étendre";1,413;-0,065;0,032;-1,363
"vote";9,961;-2,372;-1,44;-0,223
"transition";-0,399;-2,011;15,648;-3,18
"soutenir";-0,606;2,806;0,032;-1,363
"sidérurgique";4,443;-4,367;3,218;-3,18
"servir";-0,606;-0,065;8,648;-3,472
"réserver";0,284;-2,372;-1,44;5,338
"réorganisation";0,545;0,355;-3,273;0,156
"régime";9,727;0,014;-2,974;-2,89
"réflexion";-0,015;1,065;-3,573;0,845
"réduction";-3,637;-3,968;34,004;-2,89
"risquer";-2,058;2,806;0,032;-0,223
"péréquation";-0,399;-0,558;10,466;-3,18
"produit";-0,015;-4,767;18,671;-3,472
"maintien";0,284;0,151;0,758;-3,472
"main_d_oeuvre";-4,37;-4,767;40,851;-3,472
"lundi";-2,058;-4,767;-3,573;33,505
"juger";-2,058;1,065;-3,573;5,338
"joint";1,413;-4,767;-0,26;2,607
"interministériel";-0,606;-4,767;-3,573;25,936
"insister";3,402;-0,805;0,032;-1,363
"imposer";1,413;0,151;0,032;-3,472
"heure";-4,003;-2,011;1,152;6,628
"façon";-2,058;-0,805;0,758;2,607
"exister";-1,732;6,815;-0,135;-1,117
"entretenir";-4,37;-2,372;-3,573;33,505
"dévoué";-4,37;-4,767;-3,573;42,042
"désirer";-2,058;-0,065;-0,26;5,338
"départ";-4,003;-0,558;-0,135;10,896
"débat";9,961;-0,805;-0,26;-3,472
"directement";3,402;-0,805;-0,26;-0,223
"difficile";0,284;-0,065;2,435;-3,472
"courir";-2,058;5,374;-0,26;-0,223
"contraire";-0,606;2,806;0,032;-1,363
"continent";-2,058;23,916;-3,573;-3,472
"conformément";9,961;-0,805;-3,573;-0,223
"collaborateur";-4,37;-4,767;-3,573;42,042
"charge";-4,003;-0,558;21,869;-3,18
"bureau";9,727;-3,968;-2,974;0,342
"budget";-4,003;-4,367;21,869;-0,109
"benelux";-0,015;2,806;0,032;-3,472
"avril";14,53;-4,767;-3,573;0,05
"arrêter";-2,058;-0,065;-0,26;5,338
"ami";-4,003;-4,367;-1,185;30,029
"amener";-0,015;8,769;-1,44;-3,472
"agréer";-2,058;-4,767;-3,573;33,505
"1er";7,799;-4,367;-1,185;0,156
"élargir";-0,399;3,76;-0,135;-1,117
"véritable";-1,732;6,815;-0,135;-1,117
"tiers";-0,399;-4,367;21,869;-3,18
"suppression";0,061;-0,341;4,216;-2,89
"récent";0,061;0,014;-0,939;0,342
"rencontrer";-4,003;1,607;-0,135;1,259
"reconstruction";-4,003;-4,367;37,425;-3,18
"ration";-3,637;-3,968;-2,974;34,995
"précis";4,443;-0,006;-0,135;-3,18
"profession";-1,414;-3,968;-0,939;19,295
"nom";0,061;2,336;-2,974;-0,031
"mayer";2,263;-0,988;-2,376;1,068
"marquer";0,545;3,76;-1,185;-3,18
"large";-4,003;6,815;1,152;-3,18
"impossible";-0,399;-0,006;-1,185;3,416
"hirsch";-3,272;-3,569;-2,675;31,478
"finalement";-0,399;-0,006;1,152;-0,109
"entendre";0,545;0,355;-3,273;0,156
"détermination";-1,107;10,918;-0,704;-2,599
"définitif";4,443;0,355;-1,185;-3,18
"décembre";-1,732;-4,367;-1,185;22,596
"douane";-0,222;-3,968;18,664;-2,89
"convaincre";2,025;0,355;-0,135;-3,18
"contrepartie";-3,637;0,014;12,706;-2,89
"constant";-0,399;1,607;0,124;-1,117
"confidentiel";-1,414;-3,968;-2,974;26,565
"compétence";2,025;-0,006;-3,273;0,156
"communiqué";-4,003;-2,011;-3,273;30,029
"bonn";0,545;-2,011;-3,273;6,628
"belgique";-0,399;-0,006;6,323;-3,18
"bas";-2,907;-0,043;12,42;-2,309
"augmenter";-1,414;-1,659;1,684;1,813
"arriver";0,003;10,772;-3,273;-3,18
"appartenir";-1,732;-0,006;-3,273;10,896
"anglais";-1,732;3,76;-3,273;1,259
"allocation";-3,637;-1,659;-0,939;19,295
"étroit";0,931;0,014;-0,939;-0,031
"équilibre";-1,414;0,014;7,89;-2,89
